Name,Year,Brand,Mileage,Price,Reviews,Rating,BrandNum
2016 Ford F-350 Lariat Super Duty,2016,Ford,85663,43863,54,4.7,0
2015 Ford F-150 Lariat,2015,Ford,53554,37160,186,4.5,0
2014 RAM 1500 Tradesman/Express,2014,RAM,60720,21641,141,4.8,1
2017 Chevrolet Silverado 1500 High Country,2017,Chevrolet,65080,41954,129,4.6,6
2015 Ford F-150 XLT,2015,Ford,50926,29877,947,4.8,0
2020 Ford F-250 XL,2020,Ford,7670,55387,34,4.1,0
2018 Ford F-150 XL,2018,Ford,37315,34990,1806,4.3,0
2016 Chevrolet Silverado 1500 1LT,2016,Chevrolet,59858,29522,141,4.8,6
2017 Chevrolet Silverado 3500 WT,2017,Chevrolet,31996,47998,0,0.0,6
2018 GMC Sierra 1500 SLT,2018,GMC,43971,39595,6,3.2,4
2019 Chevrolet Silverado 1500 LTZ,2019,Chevrolet,37409,45995,15,4.5,6
2019 RAM 1500 Classic SLT,2019,RAM,32170,29831,37,4.1,1
2018 Ford F-350 Lariat Super Duty,2018,Ford,67649,59891,278,4.7,0
2015 GMC Sierra 1500 SLT,2015,GMC,40770,36941,92,4.8,4
2019 RAM 1500 Longhorn,2019,RAM,21794,49792,478,4.1,1
2013 Ford F-250 Lariat,2013,Ford,173868,35995,79,4.6,0
2017 Ford F-150 XLT,2017,Ford,41671,39950,17,4.1,0
2019 Chevrolet Silverado 2500 LT,2019,Chevrolet,65963,46995,79,4.6,6
2017 GMC Sierra 1500 SLT,2017,GMC,52805,41897,58,4.3,4
2017 GMC Sierra 1500 SLT,2017,GMC,50495,35771,232,2.3,4
2016 Chevrolet Silverado 2500 Work Truck,2016,Chevrolet,71123,29900,114,4.7,6
2013 Chevrolet Silverado 1500 LTZ,2013,Chevrolet,110482,22983,69,4.6,6
2012 Ford F-150 SVT Raptor,2012,Ford,130634,32500,18,4.2,0
2017 Chevrolet Silverado 1500 1LZ,2017,Chevrolet,35404,36858,375,4.8,6
2012 Chevrolet Silverado 2500 LTZ,2012,Chevrolet,125083,32750,13,4.6,6
2019 Toyota Tundra Limited,2019,Toyota,7251,40480,522,1.0,3
2019 RAM 1500 Big Horn,2019,RAM,16958,42995,1,5.0,1
2017 Ford F-150 King Ranch,2017,Ford,57875,40995,1,5.0,0
2017 Toyota Tundra TRD Pro,2017,Toyota,91668,37600,1,5.0,3
2012 RAM 1500 ST,2012,RAM,95361,15999,12,5.0,1
2010 Ford F-150 XLT SuperCrew,2010,Ford,171395,11784,36,4.5,0
2017 Chevrolet Silverado 1500 LT,2017,Chevrolet,109326,25820,342,4.7,6
2012 Chevrolet Silverado 2500 LT,2012,Chevrolet,75986,36000,150,4.9,6
2015 Chevrolet Silverado 1500 LTZ,2015,Chevrolet,21306,37500,9,4.2,6
2017 RAM 2500 Laramie,2017,RAM,22177,46800,3,3.3,1
2019 Nissan Titan SV,2019,Nissan,8860,39548,0,0.0,2
2016 Ford F-150 XLT,2016,Ford,121177,28000,211,4.6,0
2017 GMC Sierra 1500 SLT,2017,GMC,104967,35994,0,0.0,4
2020 Chevrolet Silverado 2500 WT,2020,Chevrolet,14433,51344,133,4.8,6
2019 Chevrolet Silverado 1500 LT,2019,Chevrolet,10213,41400,184,4.8,6
2019 RAM 1500 Big Horn,2019,RAM,20540,38200,184,4.8,1
2018 GMC Sierra 1500 SLT,2018,GMC,6267,46000,18,3.9,4
2017 Chevrolet Silverado 1500,2017,Chevrolet,31012,32855,24,4.6,6
